Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P010_WA01	2208976	918421	41.6	329	274	273	246	184	129	1	62	79	0	0	273	0	199068
FMN_104811_P010_WB01	3794822	1638843	43.2	345	244	241	228	194	142	1	98	123	0	0	241	0	203160
FMN_104811_P010_WB02	3702370	1570455	42.4	348	275	273	255	203	143	1	76	99	0	0	273	0	212409
FMN_104811_P010_WB09	1328740	488404	36.8	329	233	231	204	145	94	1	44	61	0	0	231	0	166197
FMN_104811_P010_WE02	1593070	607653	38.1	344	242	240	216	161	112	1	58	72	0	0	240	0	182127
FMN_104811_P011_WC09	957620	396584	41.4	309	246	245	228	160	102	0	36	56	0	0	245	0	174192
FMN_104811_P011_WF05	801044	286633	35.8	312	237	235	223	173	123	1	19	19	0	0	235	0	188808
FMN_104811_P013_WA04	987840	413055	41.8	321	248	246	232	187	117	1	55	74	0	0	246	0	193596
FMN_104811_P013_WA05	405044	124714	30.8	300	225	221	193	137	82	0	5	10	0	0	221	0	156957
FMN_104811_P013_WA10	1351750	573438	42.4	323	271	269	236	174	114	1	33	42	0	0	269	0	189450
FMN_104811_P013_WE08	83966	30787	36.7	258	183	182	134	71	31	0	5	9	0	0	182	0	99375
FMN_104811_P014_WA02	1291658	535990	41.5	318	260	258	239	184	126	1	10	15	0	0	258	0	196566
PAFTOL_006272	3016092	57782	1.9	377	238	235	216	139	73	1	5	9	0	0	235	0	113487
PAFTOL_006274	2270766	106485	4.7	375	270	267	242	162	87	1	31	47	0	0	267	0	128949
PAFTOL_006275	1334798	66002	4.9	377	250	246	223	141	80	1	25	38	0	0	246	0	115947
PAFTOL_006277	1490140	29821	2.0	362	236	231	151	77	29	0	5	8	0	0	231	0	73569
PAFTOL_006280	1101132	42225	3.8	357	190	186	163	95	52	0	13	17	0	0	186	0	82530
PAFTOL_006281	5275962	159159	3.0	377	300	289	261	184	107	2	8	12	0	0	289	0	148134
