Name	NumReads	ReadsMapped	PctOnTarget	GenesMapped	GenesWithContigs	GenesWithSeqs	GenesAt25pct	GenesAt50pct	GenesAt75pct	GenesAt150pct	ParalogWarningsLong	ParalogWarningsDepth	GenesWithoutStitchedContigs	GenesWithStitchedContigs	GenesWithStitchedContigsSkipped	GenesWithChimeraWarning	TotalBasesRecovered
FMN_104811_P009_WD06	312576	118283	37.8	264	174	174	156	99	69	1	3	9	0	0	174	0	134609
FMN_104811_P009_WD07	849406	341405	40.2	292	227	226	213	171	130	17	20	36	0	0	226	0	214794
FMN_104811_P009_WD08	3119162	1316817	42.2	332	263	262	259	235	212	80	42	62	0	0	262	0	339332
FMN_104811_P009_WD09	2184744	878911	40.2	323	249	247	238	210	166	44	18	52	0	0	247	0	266226
FMN_104811_P009_WD10	2192562	886758	40.4	321	249	247	232	203	150	34	24	48	0	0	247	0	251996
FMN_104811_P009_WD11	1539724	629393	40.9	303	243	242	232	199	140	28	12	45	0	0	242	0	239294
FMN_104811_P009_WD12	4020774	1753325	43.6	334	277	276	274	260	232	115	55	83	0	0	276	0	398169
FMN_104811_P009_WE01	1305564	524945	40.2	317	236	233	228	202	158	38	27	56	0	0	233	0	262723
FMN_104811_P009_WE02	1597544	658624	41.2	310	251	249	245	219	191	61	42	58	0	0	249	0	306473
FMN_104811_P009_WE04	1272524	518242	40.7	311	242	240	230	200	150	27	22	46	0	0	240	0	245253
FMN_104811_P009_WE05	1237880	507203	41.0	316	255	251	247	214	182	52	32	44	0	0	251	0	290003
FMN_104811_P009_WE06	1671204	656872	39.3	310	227	224	211	155	116	9	12	39	0	0	224	0	192527
FMN_104811_P009_WE07	2695562	1083608	40.2	318	260	258	251	204	154	22	19	40	0	0	258	0	250835
FMN_104811_P009_WE09	3062324	1308702	42.7	325	276	275	269	246	210	69	44	66	0	0	275	0	333834
FMN_104811_P009_WE10	2315448	974930	42.1	313	247	245	237	193	141	22	14	46	0	0	245	0	232221
FMN_104811_P009_WE11	3592338	1535986	42.8	326	286	284	277	251	212	75	47	65	0	0	284	0	333383
FMN_104811_P009_WF02	2069014	826817	40.0	318	246	243	235	202	143	22	19	53	0	0	243	0	241787
FMN_104811_P009_WF03	3758192	1623646	43.2	337	289	288	285	259	221	80	49	70	0	0	288	0	348987
FMN_104811_P009_WF05	2643180	1054987	39.9	311	228	225	210	160	114	13	19	40	0	0	225	0	195749
FMN_104811_P009_WF06	3694588	1501474	40.6	333	261	259	252	214	160	38	28	51	0	0	259	0	267048
FMN_104811_P009_WF07	4132272	1662409	40.2	321	258	255	241	191	139	20	18	48	0	0	255	0	235449
FMN_104811_P009_WF08	140406	58533	41.7	270	183	182	163	120	75	4	1	11	0	0	182	0	149899
FMN_104811_P009_WF09	2190372	841125	38.4	309	227	224	207	149	101	5	11	32	0	0	224	0	182863
FMN_104811_P009_WF10	6235598	2602493	41.7	349	284	282	271	226	175	35	23	53	0	0	282	0	273202
FMN_104811_P009_WF11	3296940	1296930	39.3	309	227	225	211	155	107	8	6	41	0	0	225	0	188850
FMN_104811_P009_WF12	3912470	1663405	42.5	328	268	265	257	225	182	40	33	70	0	0	265	0	280356
FMN_104811_P009_WG01	2649914	1062196	40.1	318	263	262	250	209	154	29	27	58	0	0	262	0	257321
FMN_104811_P009_WG02	1531828	608315	39.7	318	257	256	252	227	202	76	49	65	0	0	256	0	327044
